Date,Price,Open,High,Low,Vol.,Change %
03/01/2022,10950,"10,300.00","10,950.00","10,250.00",16.66M,6.83%
02/28/2022,10250,"10,500.00","10,700.00","10,150.00",17.11M,0.49%
02/25/2022,10200,"10,550.00","10,750.00","10,100.00",21.35M,-2.86%
02/24/2022,10500,"11,150.00","11,250.00","10,500.00",37.19M,-6.67%
02/23/2022,11250,"11,500.00","11,800.00","11,200.00",11.98M,-2.17%
02/22/2022,11500,"11,000.00","11,700.00","11,000.00",16.87M,1.77%
02/21/2022,11300,"11,000.00","11,400.00","10,850.00",12.21M,2.73%
02/18/2022,11000,"10,800.00","11,700.00","10,800.00",17.31M,-1.35%
02/17/2022,11150,"11,050.00","11,300.00","10,650.00",13.44M,0.45%
02/16/2022,11100,"11,900.00","12,000.00","11,050.00",14.09M,-4.72%
02/15/2022,11650,"10,750.00","12,300.00","10,750.00",38.59M,0.87%
02/14/2022,11550,"11,550.00","11,800.00","11,550.00",11.25M,-6.85%
02/11/2022,12400,"12,500.00","13,000.00","12,350.00",12.23M,-1.98%
02/10/2022,12650,"12,450.00","12,950.00","12,300.00",15.52M,1.61%
02/09/2022,12450,"12,200.00","12,600.00","11,900.00",11.64M,2.05%
02/08/2022,12200,"11,800.00","12,300.00","11,600.00",9.47M,3.39%
02/07/2022,11800,"12,550.00","12,550.00","11,800.00",14.26M,0.00%
01/28/2022,11800,"11,800.00","12,250.00","11,800.00",38.89M,-6.72%
01/27/2022,12650,"12,900.00","13,300.00","12,650.00",8.09M,0.00%
01/26/2022,12650,"11,650.00","12,650.00","11,100.00",31.96M,6.75%
01/25/2022,11850,"12,000.00","12,500.00","11,850.00",37.25M,-6.69%
01/24/2022,12700,"13,600.00","13,600.00","12,700.00",31.14M,-6.96%
01/21/2022,13650,"13,550.00","14,200.00","13,300.00",15.44M,1.87%
01/20/2022,13400,"13,500.00","14,250.00","12,950.00",31.63M,-3.60%
01/19/2022,13900,"15,200.00","15,300.00","13,900.00",24.80M,-6.71%
01/18/2022,14900,"15,300.00","15,750.00","14,600.00",21.90M,-4.79%
01/17/2022,15650,"15,950.00","15,950.00","14,800.00",44.24M,4.68%
01/14/2022,14950,"13,200.00","14,950.00","13,200.00",21.66M,6.79%
01/13/2022,14000,"14,600.00","15,100.00","13,850.00",51.22M,-5.72%
01/12/2022,14850,"15,250.00","15,750.00","14,200.00",41.42M,-2.62%
01/11/2022,15250,"15,700.00","16,200.00","15,000.00",26.73M,-0.33%
01/10/2022,15300,"14,600.00","15,300.00","14,250.00",62.24M,6.99%
01/07/2022,14300,"14,000.00","14,600.00","14,000.00",31.56M,0.70%
01/06/2022,14200,"14,200.00","14,600.00","14,000.00",23.99M,2.16%
01/05/2022,13900,"13,050.00","13,900.00","12,800.00",32.90M,6.92%
01/04/2022,13000,"13,450.00","13,750.00","12,800.00",33.64M,-2.26%
12/31/2021,13300,"14,050.00","14,250.00","13,300.00",43.16M,-6.67%
12/30/2021,14250,"14,550.00","15,100.00","14,000.00",16.19M,-1.38%
12/29/2021,14450,"13,750.00","14,450.00","13,550.00",30.45M,6.64%
12/28/2021,13550,"14,450.00","14,800.00","13,550.00",49.66M,-6.55%
12/27/2021,14500,"14,200.00","14,700.00","13,800.00",24.04M,2.11%
