Date,Price,Open,High,Low,Vol.,Change %
3/28/19,7574.2,7574.2,7666.8,7555.6,2.95M,-1.21%
3/29/19,7481.6,7629.7,7648.2,7463.0,6.61M,-1.22%
4/1/19,7500.1,7518.6,7574.2,7463.0,4.12M,0.25%
4/2/19,7463,7574.2,7592.7,7463.0,4.56M,-0.49%
4/3/19,7389,7444.5,7463.0,7314.9,8.99M,-0.99%
4/4/19,7407.5,7389.0,7463.0,7370.5,2.75M,0.25%
4/5/19,7426,7407.5,7463.0,7370.5,5.12M,0.25%
4/8/19,7351.9,7444.5,7444.5,7259.3,4.48M,-1.00%
4/9/19,7389,7370.5,7463.0,7351.9,5.59M,0.50%
4/10/19,7351.9,7370.5,7407.5,7203.8,6.43M,-0.50%
4/11/19,7277.9,7370.5,7370.5,7259.3,2.43M,-1.01%
4/12/19,7203.8,7240.8,7259.3,7185.3,4.69M,-1.02%
4/16/19,7092.7,7148.2,7185.3,6981.6,7.19M,-1.54%
4/17/19,7203.8,7111.2,7259.3,7092.7,5.59M,1.57%
4/18/19,7148.2,7203.8,7222.3,7092.7,3.49M,-0.77%
4/19/19,7185.3,7185.3,7185.3,7092.7,2.80M,0.52%
4/22/19,7166.7,7185.3,7185.3,7037.1,3.38M,-0.26%
4/23/19,7074.2,7092.7,7185.3,7055.6,4.16M,-1.29%
4/24/19,7148.2,7129.7,7166.7,7055.6,3.61M,1.05%
4/25/19,7055.6,7148.2,7148.2,7055.6,2.48M,-1.30%
4/26/19,7055.6,7055.6,7111.2,7018.6,3.88M,0.00%
5/2/19,7018.6,7092.7,7092.7,6944.5,2.96M,-0.52%
5/3/19,7018.6,6981.6,7018.6,6889.0,6.60M,0.00%
5/6/19,6833.4,6926.0,6944.5,6666.7,6.24M,-2.64%
5/7/19,6759.3,6851.9,6889.0,6759.3,2.92M,-1.08%
5/8/19,6759.3,6685.3,6777.9,6666.7,4.23M,0.00%
5/9/19,6759.3,6722.3,6814.9,6703.8,4.93M,0.00%
5/10/19,6796.4,6796.4,6814.9,6740.8,3.84M,0.55%
5/13/19,6814.9,6796.4,6944.5,6777.9,3.76M,0.27%
5/14/19,6851.9,6777.9,6851.9,6759.3,3.78M,0.54%
5/15/19,7000.1,6870.4,7000.1,6851.9,4.97M,2.16%
5/16/19,7000.1,7018.6,7055.6,6944.5,4.93M,0.00%
5/17/19,6981.6,6963.0,7000.1,6907.5,2.68M,-0.26%
5/20/19,6963,6926.0,7018.6,6907.5,3.77M,-0.27%
5/21/19,7037.1,7000.1,7074.2,6981.6,4.93M,1.06%
5/22/19,7074.2,7037.1,7148.2,7037.1,6.61M,0.53%
5/23/19,6944.5,7000.1,7074.2,6926.0,3.37M,-1.83%
5/24/19,6907.5,6889.0,7037.1,6870.4,2.93M,-0.53%
5/27/19,6944.5,6889.0,6944.5,6833.4,2.57M,0.54%
5/28/19,6851.9,7000.1,7000.1,6851.9,2.73M,-1.33%
5/29/19,6777.9,6889.0,6889.0,6777.9,2.48M,-1.08%
5/30/19,6814.9,6777.9,6833.4,6740.8,5.15M,0.55%
5/31/19,6740.8,6796.4,6851.9,6740.8,2.61M,-1.09%
6/3/19,6666.7,6722.3,6740.8,6481.6,5.57M,-1.10%
6/4/19,6666.7,6629.7,6685.3,6518.6,4.88M,0.00%
6/5/19,6611.2,6666.7,6703.8,6611.2,2.95M,-0.83%
6/6/19,6648.2,6518.6,6648.2,6481.6,3.57M,0.56%
6/7/19,6648.2,6666.7,6703.8,6629.7,4.24M,0.00%
6/10/19,6703.8,6722.3,6740.8,6555.6,4.99M,0.84%
6/11/19,6722.3,6722.3,6740.8,6648.2,3.19M,0.28%
6/12/19,6722.3,6722.3,6740.8,6685.3,3.95M,0.00%
6/13/19,6740.8,6685.3,6814.9,6685.3,5.69M,0.28%
6/14/19,6889,6759.3,6944.5,6740.8,8.67M,2.20%
