"Date","Price","Open","High","Low","Vol.","Change %"
"06/23/2021","103,911","104,889","104,978","103,556","1.44M","-0.51%"
"06/22/2021","104,444","104,889","105,511","104,089","2.43M","0.08%"
"06/21/2021","104,356","104,444","105,689","104,267","1.68M","0.00%"
"06/18/2021","104,356","104,889","105,156","104,000","2.01M","0.34%"
"06/17/2021","104,000","104,889","105,689","104,000","3.20M","-1.76%"
"06/16/2021","105,867","108,178","108,178","105,778","1.33M","-2.14%"
"06/15/2021","108,178","106,667","108,444","106,222","1.52M","1.42%"
"06/14/2021","106,667","105,067","107,111","104,978","2.17M","1.70%"
"06/11/2021","104,889","104,000","104,889","103,378","1.95M","1.29%"
"06/10/2021","103,556","105,333","105,956","103,556","3.30M","-1.94%"
"06/09/2021","105,600","106,667","107,556","104,000","2.04M","-0.83%"
"06/08/2021","106,489","111,022","111,733","105,778","3.04M","-2.60%"
"06/07/2021","109,333","109,156","112,444","108,444","4.14M","1.65%"
"06/04/2021","107,556","105,333","107,556","105,333","4.15M","2.11%"
"06/03/2021","105,333","104,889","105,600","104,000","2.80M","0.85%"
"06/02/2021","104,444","106,844","108,356","104,000","3.52M","-2.08%"
"06/01/2021","106,667","103,289","107,556","103,111","2.42M","2.13%"
"05/31/2021","104,444","106,489","106,667","103,111","2.08M","-1.92%"
"05/28/2021","106,489","106,756","109,333","105,778","2.08M","-0.42%"
"05/27/2021","106,933","107,467","107,556","105,778","2.34M","-1.15%"
"05/26/2021","108,178","108,444","108,622","107,111","1.89M","-0.49%"
"05/25/2021","108,711","108,800","108,800","107,733","1.70M","0.16%"
"05/24/2021","108,533","108,889","109,867","107,556","2.23M","-0.33%"
"05/21/2021","108,889","109,333","109,333","107,111","1.83M","-0.32%"
"05/20/2021","109,244","106,756","109,511","106,667","2.35M","2.33%"
"05/19/2021","106,756","106,667","107,556","104,978","2.45M","-0.74%"
"05/18/2021","107,556","110,222","112,000","107,556","2.76M","-2.42%"
"05/17/2021","110,222","112,000","115,556","110,222","2.72M","-1.04%"
"05/14/2021","111,378","112,444","112,889","109,511","2.94M","-0.95%"
"05/13/2021","112,444","113,778","115,556","112,444","1.94M","-2.54%"
"05/12/2021","115,378","115,556","117,333","113,778","1.56M","-0.92%"
"05/11/2021","116,444","117,778","118,578","116,000","1.31M","-1.13%"
